+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Chicopee Academy                                                                  | 17.6      | 17014.78              |
| Chicopee Comprehensive High School                                                | 91.2      | 17014.78              |
| Chicopee High                                                                     | 88.7      | 17014.78              |
| CityLab Innovation High School                                                    | 28.8      | 17007.49              |
| Revere High                                                                       | 90.1      | 17007.49              |
| Quaboag Regional High                                                             | 90.6      | 16982.58              |
| Minnechaug Regional High                                                          | 97.5      | 16970.87              |
| Innovation Academy Charter School                                                 | 88.8      | 16920.56              |
| B M C Durfee High                                                                 | 87.9      | 16905                 |
| Resiliency Preparatory Academy                                                    | 50.8      | 16905                 |
| Stone PK-12 School                                                                | 28.6      | 16905                 |
| Milton High                                                                       | 95.4      | 16863.97              |
| Abby Kelley Foster Charter Public School                                          | 98.8      | 16853.85              |
| Winchester High School                                                            | 98.9      | 16817.9               |
| Malden High                                                                       | 82.1      | 16747.63              |
| Gateway Academy                                                                   | 50        | 16705.23              |
| Greenleaf Academy                                                                 | 36.4      | 16705.23              |
| Haverhill High                                                                    | 85.4      | 16705.23              |
| Longmeadow High                                                                   | 99.5      | 16704.59              |
| Advanced Math and Science Academy Charter School                                  | 98.6      | 16675.46              |
| Northbridge High                                                                  | 87.1      | 16675.15              |
| Leblanc Therapeutic Day School                                                    | 77.8      | 16639.4               |
| Lowell High                                                                       | 82.8      | 16639.4               |
| The Career Academy                                                                | 60.5      | 16639.4               |
| Westfield High                                                                    | 94.5      | 16630.53              |
| Westfield Technical Academy                                                       | 94.9      | 16630.53              |
| Reading Memorial High                                                             | 98.2      | 16616.08              |
| Sturgis Charter Public School                                                     | 98        | 16561.31              |
| Dighton-Rehoboth Regional High School                                             | 96.3      | 16537.96              |
| Marshfield High                                                                   | 97.1      | 16526.74              |
| Milford High                                                                      | 83.2      | 16497.44              |
| Hopedale Jr Sr High                                                               | 97.3      | 16471.48              |
| Pembroke High School                                                              | 95.1      | 16435.27              |
| Granby Jr Sr High School                                                          | 94.5      | 16403.29              |
| Holbrook Middle High School                                                       | 88.2      | 16394.15              |
| Argosy Collegiate Charter School                                                  | 68.6      | 16388.31              |
| Winthrop High School                                                              | 90.9      | 16354.38              |
| Classical High                                                                    | 86.4      | 16351.7               |
| Fecteau-Leary Junior/Senior High School                                           | 57.1      | 16351.7               |
| Lynn English High                                                                 | 81.5      | 16351.7               |
| Lynn Vocational Technical Institute                                               | 97.5      | 16351.7               |
| Fitchburg High                                                                    | 92.9      | 16338.69              |
| Goodrich Academy                                                                  | 80.2      | 16338.69              |
| Athol High                                                                        | 72.4      | 16318.64              |
| Pioneer Charter School of Science II                                              | 98        | 16308.22              |
| Westford Academy                                                                  | 99.1      | 16256.4               |
| Taunton Alternative High School                                                   | 79.3      | 16239.97              |
| Taunton High                                                                      | 94.4      | 16239.97              |
| Middleborough High                                                                | 95.3      | 16198.65              |
| Peabody Veterans Memorial High                                                    | 86.8      | 16188.62              |
| Ashland High                                                                      | 97.2      | 16151.91              |
| Abington High                                                                     | 93.8      | 16143.23              |
| Oxford High                                                                       | 89.7      | 16137.05              |
| Dartmouth High                                                                    | 93        | 16107.25              |
